dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
mnist,10,10,1,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.342,40.269139528274536,5e-05
mnist,10,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7980000000000002,194.88433361053467,0.001
mnist,10,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.81,176.69673109054563,0.0001
mnist,10,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8109999999999999,197.3988034725189,5e-05
mnist,10,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.795,180.3953869342804,0.001
mnist,10,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.802,198.39937663078308,0.0001
mnist,10,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7979999999999999,198.1753370761872,5e-05
mnist,10,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.789,198.7400562763214,0.001
mnist,10,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7819999999999999,189.2621698379517,0.0001
mnist,10,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7769999999999999,194.3666305541992,5e-05
mnist,10,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.807,231.5363175868988,0.001
mnist,10,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8240000000000002,234.5043089389801,0.0001
