dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,in_alphabet,add_rotations,channels,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
covtype,10,7,1,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1428571428571428,90.3815622329712,0.0001
covtype,10,7,1,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1414285714285713,88.98768758773804,5e-05
covtype,10,7,1,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2742857142857142,92.47692608833312,0.001
covtype,10,7,1,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2699999999999999,90.946213722229,0.0001
covtype,10,7,1,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.2699999999999999,90.5994472503662,5e-05
covtype,10,7,1,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1942857142857142,90.93958473205566,0.001
covtype,10,7,1,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1985714285714285,90.53888297080994,0.0001
covtype,10,7,1,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1971428571428571,92.21792840957642,5e-05
covtype,10,7,1,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1614285714285714,90.0516254901886,0.001
covtype,10,7,1,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1614285714285714,90.6040997505188,0.0001
covtype,10,7,1,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.1614285714285714,91.082679271698,5e-05
