dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
omniglot,10,10,3,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.289,69.68112850189209
omniglot,10,10,3,1,28,2000,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.462,83.57380867004395
omniglot,10,10,3,1,28,2000,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.465,85.05755853652954
omniglot,10,10,3,1,28,2000,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4620000000000001,85.66159701347351
omniglot,10,10,3,1,28,2000,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.43,84.2478415966034
omniglot,10,10,3,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4219999999999999,84.44296789169312
omniglot,10,10,3,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.412,85.2110743522644
omniglot,10,10,3,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3929999999999999,84.94381737709045
omniglot,10,10,3,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3679999999999999,83.0661792755127
omniglot,10,10,3,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.35899999999999993,84.82243061065674
