way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
5,1,1,28,300,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.212,10.904157876968384
5,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.5520000000000002,7.787446737289429
5,3,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.472,7.842690467834473
5,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.29,13.553086757659912
5,3,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.208,8.02930760383606
5,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.5159999999999999,13.508121013641356
5,3,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.204,8.028814077377321
5,3,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18600000000000005,8.040845155715942
5,1,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.4560000000000001,13.394487857818605
5,3,1,28,2000,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.20199999999999999,7.297597885131836
5,3,1,28,2000,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.202,7.303273439407349
5,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.182,14.657735824584961
5,3,1,28,2000,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.21,7.264081001281737
5,3,1,28,3000,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.13599999999999998,11.063748836517334
5,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.17999999999999994,14.390787601470947
5,3,1,28,3000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.51,11.291594743728638
5,1,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.208,14.567385911941528
5,3,1,28,3000,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.4700000000000002,11.079432725906372
5,1,1,28,500,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.24,11.275696992874146
5,3,1,28,3000,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19199999999999995,11.440325021743774
5,1,1,28,500,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.206,11.662682294845581
5,3,1,28,3000,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,11.39421272277832
5,1,1,28,500,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.22,11.659206628799438
5,3,1,28,3000,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18600000000000005,11.565071105957033
5,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.23399999999999999,14.301828384399414
