dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,10,10,200,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8820989999999999,137.85327887535095
mnist,10,10,200,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.929567,146.04742503166202
mnist,10,10,200,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.9085500000000002,145.83059263229367
mnist,10,10,200,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.9001470000000001,144.14231514930725
mnist,3,10,50,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7990169999999999,66.39733338356018
mnist,3,10,50,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.3841920000000001,68.3839337825775
mnist,3,10,50,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.24306,68.73177933692932
mnist,3,10,50,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7502759999999999,69.82446217536925
mnist,3,10,50,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.23584899999999998,70.04770064353943
mnist,3,10,50,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.15590699999999996,69.76617026329039
mnist,3,10,50,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8291200000000001,68.72231388092041
mnist,3,10,50,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6444249999999999,67.47818851470947
mnist,3,10,50,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.45796499999999996,67.80490255355835
mnist,3,10,50,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8067389999999999,71.36227464675903
mnist,3,10,50,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.593435,68.7840051651001
mnist,3,10,50,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.408807,70.45242118835448
mnist,3,10,50,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8465070000000001,68.23761129379271
mnist,3,10,50,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.762842,69.92822265625
mnist,3,10,50,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6782849999999999,69.13166046142578
mnist,3,10,50,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8439829999999999,71.35093903541566
mnist,3,10,50,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7815519999999999,71.93029952049254
mnist,3,10,50,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7260840000000002,70.56009984016418
mnist,10,10,50,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.861456,82.86420106887817
mnist,10,10,50,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7013640000000001,80.37011551856996
mnist,10,10,50,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.537812,83.05032920837401
mnist,10,10,50,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8543349999999998,89.61525630950928
mnist,10,10,50,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.5779319999999999,86.62826609611511
mnist,10,10,50,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.3709609999999999,87.62528705596924
mnist,10,10,50,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8696389999999999,82.2725884914398
mnist,10,10,50,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8017630000000001,82.4608302116394
mnist,10,10,50,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.739725,81.0248327255249
mnist,10,10,50,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8685389999999998,87.06231188774109
mnist,10,10,50,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8029660000000001,87.8184552192688
mnist,10,10,50,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.71642,86.80399394035341
mnist,10,10,50,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8754500000000001,81.27701568603516
mnist,10,10,50,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8353720000000001,81.53627204895021
mnist,10,10,50,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8071290000000001,80.56394124031067
mnist,10,10,50,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8818339999999999,88.74991798400879
mnist,10,10,50,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8612400000000001,88.29571032524109
mnist,10,10,50,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8324819999999999,89.19781970977783
mnist,3,10,300,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.896492,101.21696734428406
mnist,3,10,300,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.794559,97.9398262500763
mnist,3,10,300,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.6959859999999999,100.50708246231079
mnist,3,10,300,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.892567,108.84061670303343
mnist,3,10,300,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.7377640000000001,106.90487122535706
mnist,3,10,300,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.561713,107.71540379524231
mnist,3,10,300,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.9062100000000001,98.1419427394867
mnist,3,10,300,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.846699,98.42355155944824
mnist,3,10,300,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8111470000000002,100.07954788208008
mnist,3,10,300,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.908995,106.75031304359436
mnist,3,10,300,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8548849999999999,108.33267188072205
mnist,3,10,300,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8041109999999999,107.9346776008606
mnist,3,10,300,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.916776,99.10706782341005
mnist,3,10,300,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8775749999999999,99.32766795158386
mnist,3,10,300,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.847325,98.07652473449707
mnist,3,10,300,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.922623,108.59145784378052
mnist,3,10,300,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.895985,109.03518557548523
mnist,3,10,300,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8771309999999999,108.98065209388731
mnist,10,10,300,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.912745,168.14367938041687
mnist,10,10,300,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.872559,167.4744701385498
mnist,10,10,300,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.8379129999999999,168.5345416069031
