dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,accuracy,duration_sec
mnist,2,10,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10806800000000001,34.11700844764709
mnist,2,10,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.102262,34.2707097530365
mnist,2,10,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10748399999999997,34.406340837478645
mnist,2,10,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.402082,34.54991865158081
mnist,2,10,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10418399999999996,34.565788507461555
mnist,2,10,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.09840399999999999,34.58773374557495
mnist,2,10,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.099242,35.316696405410774
mnist,2,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.407778,35.320298671722405
mnist,2,10,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.1096,35.247623682022095
mnist,2,10,1,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.104918,35.28029012680054
mnist,2,10,1,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.087158,36.097058296203606
mnist,2,10,1,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.415024,36.00930595397949
mnist,2,10,1,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.104402,36.2495174407959
mnist,2,10,1,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.100272,36.12927126884461
mnist,2,10,1,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.064524,40.31161642074585
mnist,2,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.423018,40.26173996925354
mnist,2,10,1,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.096254,40.56831312179565
mnist,2,10,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.093538,40.53461813926697
mnist,2,10,5,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.17428599999999994,34.576542139053345
mnist,2,10,5,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6491680000000001,34.52664303779602
mnist,2,10,5,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.133204,35.107020378112786
mnist,2,10,5,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.102476,34.79581904411316
mnist,2,10,5,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.168786,34.91777443885803
mnist,2,10,5,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6623899999999999,34.98484468460083
mnist,2,10,5,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.14070799999999994,35.74762654304505
mnist,2,10,5,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10799400000000002,35.676310062408454
mnist,2,10,5,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.16161199999999998,36.145469665527344
mnist,2,10,5,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.67391,36.12019896507263
mnist,2,10,5,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13391999999999998,36.56019997596741
mnist,2,10,5,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.104432,36.511506080627434
mnist,2,10,5,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.15724200000000002,36.52059006690979
mnist,2,10,5,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.675994,36.44485974311829
mnist,2,10,5,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12842,36.799670696258545
mnist,2,10,5,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.100582,36.85251927375794
mnist,2,10,5,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.14995999999999998,37.110163688659675
mnist,2,10,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6765939999999999,37.100855827331536
mnist,2,10,5,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13201200000000002,37.43056845664978
mnist,2,10,5,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10689000000000001,37.12890648841858
mnist,2,10,5,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.14439200000000002,37.82610440254211
mnist,2,10,5,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6800579999999999,37.7478404045105
mnist,2,10,5,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12414799999999998,38.32732081413268
mnist,2,10,5,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.101924,38.31731653213501
mnist,2,10,5,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12803599999999998,42.81923365592957
mnist,2,10,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6787880000000001,42.85718965530396
mnist,2,10,5,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10857,43.16770887374878
mnist,2,10,5,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.094658,43.39901757240296
mnist,2,10,10,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.171916,37.18828988075256
mnist,2,10,10,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7524640000000001,36.87321400642396
mnist,2,10,10,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.17493599999999998,37.59831953048706
mnist,2,10,10,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.105704,37.71930694580078
mnist,2,10,10,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.163848,37.47946166992188
mnist,2,10,10,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7629719999999999,37.776484489440925
mnist,2,10,10,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.18521400000000002,38.6161322593689
mnist,2,10,10,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.11159,38.64546990394592
mnist,2,10,10,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.15322399999999994,38.71755814552307
mnist,2,10,10,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7756120000000002,38.74883270263672
mnist,2,10,10,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.17503800000000005,39.257320165634155
mnist,2,10,10,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10747799999999998,39.25961685180664
mnist,2,10,10,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.148586,38.7284836769104
mnist,2,10,10,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7796119999999999,39.08377027511597
mnist,2,10,10,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.16698400000000002,39.751284837722785
mnist,2,10,10,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10350799999999998,39.64549493789673
mnist,2,10,10,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.14263,39.80168890953064
mnist,2,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7832060000000001,39.754742860794074
mnist,2,10,10,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.165994,40.36785078048706
mnist,2,10,10,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10973399999999996,40.17039895057678
mnist,2,10,10,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13593,40.62137770652771
mnist,2,10,10,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.7865300000000001,40.804669380187995
mnist,2,10,10,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.15358,41.430772066116326
mnist,2,10,10,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.104244,41.32968163490296
mnist,2,10,10,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.119316,45.85969018936157
mnist,2,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.792284,46.279585123062134
mnist,2,10,10,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.12593800000000002,47.72997164726257
mnist,2,10,10,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.096116,47.486424684524536
mnist,3,10,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.153506,33.34786462783813
mnist,3,10,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.388726,33.34895706176758
mnist,3,10,1,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10929399999999996,33.61633825302124
mnist,3,10,1,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.100258,33.7721586227417
mnist,3,10,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.16016599999999998,33.858021974563606
mnist,3,10,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.402886,33.88542366027832
mnist,3,10,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.11490999999999996,34.01891303062439
mnist,3,10,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.105814,33.89042806625366
mnist,3,10,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.13957599999999998,34.65288209915161
mnist,3,10,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.4141260000000001,34.49407625198364
mnist,3,10,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.111382,34.63047313690185
mnist,3,10,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.102528,34.666054010391235
mnist,3,10,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.128316,34.825278282165534
mnist,3,10,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.4175680000000001,34.776601552963264
mnist,3,10,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.107564,34.95830655097961
mnist,3,10,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.09873,34.91945219039917
mnist,3,10,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.11985599999999998,35.68263173103333
mnist,3,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.422646,35.595328569412224
mnist,3,10,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.112526,35.68289136886597
